V1	V2
SP1	ANP32B
SP1	ADORA2A
SP1	CD2
TP53	CCND1
TP53	BLM
TP53	BTG2
TP53	CDK4
TP53	CDKN1A
TP53	CEBPB
TP53	CTNNB1
TP53	CTSD
TP53	EGFR
TP53	FLT1
TP53	JAK2
TP53	SERPINB9
TP53	SHC1
TP53	NOS2
TP53	BAG1
TP53	HSPA4
TP53	PSME3
TP53	IL2
TP53	CD40LG
TP53	PTGS2
TP53	SHISA5
TP53	S100A8
TP53	LGALS3
TP53	IL11
TP53	DDR1
TP53	CHEK2
TP53	BTK
TP53	HRAS
TP53	IL6
TP53	ABCB1
TP53	CD82
TP53	CSF1
TP53	YWHAZ
TP53	TFRC
TP53	PPM1D
TP53	PLK3
TP53	ICAM1
TP53	EEF2
TP53	ATP2A3
TP53	CASP3
TP53	KLK3
TP53	PTEN
TP53	TRIM22
TP53	POU3F3
TP53	PAFAH1B3
